cliente_id,data_solicitacao,valor_solicitado,finalidade_credito,motivo_negativa,tentou_novamente,outlier_valor
C121598,2024-03-24,2342.4,Empréstimo Pessoal,Renda Insuficiente,Não,False
C040441,2023-12-24,2989.24,Compra Parcelada,Histórico de Inadimplência,Não,False
C009340,2024-09-13,1363.82,Cartão de Crédito,Histórico de Inadimplência,Não,False
C113649,2024-06-03,1832.73,Cartão de Crédito,Histórico de Inadimplência,Sim,False
C029388,2024-01-07,1745.75,Cartão de Crédito,Documentação Incompleta,Sim,False
C126292,2024-03-01,2284.98,Empréstimo Pessoal,Score Baixo,Não,False
C003121,2025-01-21,2046.19,Cartão de Crédito,Score Baixo,Não,False
C082613,2023-12-24,4395.46,Compra Parcelada,Renda Insuficiente,Não,False
C096554,2024-09-14,1732.72,Renegociação de Dívidas,Renda Insuficiente,Não,False
C049287,2025-05-09,1268.06,Empréstimo Pessoal,Renda Insuficiente,Não,False
C148586,2024-02-09,1926.13,Cartão de Crédito,Score Baixo,Sim,False
C034193,2023-12-06,2227.66,Cartão de Crédito,Inconsistência Cadastral,Não,False
C030245,2024-07-17,2326.0,Cartão de Crédito,Renda Insuficiente,Não,False
C067625,2024-06-16,2418.28,Empréstimo Pessoal,Renda Insuficiente,Não,False
C050121,2024-01-20,1646.27,Renegociação de Dívidas,Inconsistência Cadastral,Sim,False
C075223,2024-01-23,2406.34,Cartão de Crédito,Renda Insuficiente,Não,False
C065955,2025-04-01,3168.91,Compra Parcelada,Renda Insuficiente,Não,False
C030663,2025-06-02,1640.83,Cartão de Crédito,Renda Insuficiente,Não,False
C006857,2023-10-24,2549.0,Limite Conta,Documentação Incompleta,Não,False
C122183,2024-03-02,3376.5,Limite Conta,Inconsistência Cadastral,Não,False
C082353,2024-11-21,2338.27,Limite Conta,Documentação Incompleta,Não,False
C015117,2024-08-07,2004.81,Empréstimo Pessoal,Score Baixo,Não,False
C134027,2024-12-03,2528.3,Cartão de Crédito,Renda Insuficiente,Não,False
C006804,2023-11-25,2533.54,Compra Parcelada,Renda Insuficiente,Não,False
C140846,2023-10-02,3500.81,Limite Conta,Score Baixo,Não,False
C027266,2023-07-17,2668.5,Cartão de Crédito,Inconsistência Cadastral,Não,False
C089468,2025-03-05,3107.84,Cartão de Crédito,Renda Insuficiente,Sim,False
C139088,2025-04-12,2999.71,Empréstimo Pessoal,Score Baixo,Não,False
C056267,2023-10-03,1953.42,Cartão de Crédito,Inconsistência Cadastral,Não,False
C006880,2024-05-12,1153.24,Cartão de Crédito,Documentação Incompleta,Não,False
C029928,2023-11-29,2035.98,Empréstimo Pessoal,Score Baixo,Não,False
C021223,2023-12-22,4025.97,Renegociação de Dívidas,Renda Insuficiente,Não,False
C063140,2023-07-16,3131.5,Renegociação de Dívidas,Score Baixo,Sim,False
C024361,2025-04-17,4141.02,Compra Parcelada,Score Baixo,Sim,False
C127933,2024-06-13,2625.71,Cartão de Crédito,Renda Insuficiente,Sim,False
C060357,2024-06-25,433.36,Renegociação de Dívidas,Documentação Incompleta,Não,False
C002182,2024-06-11,2489.24,Cartão de Crédito,Documentação Incompleta,Não,False
C134364,2024-08-17,3136.33,Cartão de Crédito,Histórico de Inadimplência,Não,False
C036244,2024-11-07,1437.6,Empréstimo Pessoal,Renda Insuficiente,Sim,False
C082933,2025-01-17,4616.67,Cartão de Crédito,Documentação Incompleta,Sim,False
C145428,2023-11-22,2327.0,Cartão de Crédito,Renda Insuficiente,Não,False
C021565,2023-10-23,2225.65,Empréstimo Pessoal,Renda Insuficiente,Não,False
C082779,2023-09-11,2941.59,Limite Conta,Score Baixo,Não,False
C092531,2023-10-26,1223.63,Limite Conta,Documentação Incompleta,Não,False
C087831,2024-06-13,2308.05,Cartão de Crédito,Renda Insuficiente,Não,False
C139876,2023-09-30,2960.95,Compra Parcelada,Inconsistência Cadastral,Não,False
C026446,2024-10-11,2725.76,Compra Parcelada,Renda Insuficiente,Não,False
C016943,2024-12-24,2655.34,Empréstimo Pessoal,Renda Insuficiente,Não,False
C142175,2024-12-11,2874.83,Empréstimo Pessoal,Score Baixo,Não,False
C040485,2024-08-11,3074.08,Compra Parcelada,Renda Insuficiente,Não,False
C038291,2024-01-10,1296.33,Limite Conta,Score Baixo,Não,False
C091146,2025-02-10,1624.51,Empréstimo Pessoal,Documentação Incompleta,Não,False
